,time,survival_unbiased,survival_biased,survival_fitted
886,0.7234521633840001,,-0.00021213229837069628,-0.0004513862331184263
3947,0.724286112512,,-0.00021275082567578598,-0.00045148611605225436
3262,0.7293757922699999,,-0.0002133693533633409,-0.0004520957121647819
3084,0.7303274731520001,,-0.00021398788143358363,-0.000452209695950328
4711,0.731701735228,,-0.00021460640988640354,-0.000452374292714556
6486,0.7319603917440001,,-0.0002152249387216901,-0.0004524052722681096
5679,0.7330244339099999,,-0.00021584346793966587,-0.0004525327136787287
6508,0.739557060806,,-0.0002164619975401092,-0.0004533151330351008
4788,0.743769196002,,-0.0002170805275232427,-0.0004538196247444046
6333,0.7466263416000001,,-0.00021769905788884472,-0.00045416182797373907
3571,0.7486311353079999,,-0.00021831758863713786,-0.00045440194415175504
607,0.749808037614,,-0.00021893611976801149,-0.0004545429029359369
7345,0.75254865548,,-0.0002195546512813551,-0.0004548711495204909
1474,0.7560532656319999,,-0.0002201731831773912,-0.00045529090023687453
3100,0.756114200912,,-0.00022079171545589821,-0.00045529819851723203
6084,0.757969075136,,-0.00022141024811709868,-0.0004555203586864255
4546,0.7580820719999999,,-0.000222028781160771,-0.0004555338924355605
3446,0.7595663875799998,,-0.00022264731458713772,-0.00045571167041970773
1563,0.767236930866,,-0.00022326584839608827,-0.00045663037917751715
2216,0.7691473826079999,,-0.00022388438258751209,-0.0004568591959224733
2762,0.7750938347740001,,-0.00022450291716163176,-0.00045757140853624865
1594,0.7758698879100001,,-0.00022512145211822562,-0.00045766435720832904
1247,0.78199557572,,-0.00022573998745751626,-0.0004583980370571769
3983,0.7828051665,,-0.00022635852317939308,-0.0004584950025669323
5053,0.785935676696,,-0.00022697705928374556,-0.00045886994695173565
4059,0.788214792558,,-0.00022759559577079623,-0.0004591429189726749
1703,0.792489909096,,-0.00022821413264032347,-0.00045965495402125944
6449,0.7954563648,,-0.00022883266989254985,-0.00046001024943297987
4923,0.797012036864,,-0.00022945120752725375,-0.000460196573855669
5740,0.7971669289980001,,-0.00023006974554465773,-0.00046021512544383114
3491,0.79906678088,,-0.00023068828394465124,-0.00046044267263279227
2225,0.8005495161699999,,-0.0002313068227271237,-0.0004606202613440016
47,0.8035140000000001,-0.00010000500033334732,,
3067,0.80416535199,,-0.00023192536189229766,-0.0004610533336715769
7267,0.809531154948,,-0.0002325439014399515,-0.0004616960013401359
1048,0.8106447363,,-0.00023316244137030782,-0.00046182937610936286
5350,0.8108571742399999,,-0.00023378098168314496,-0.0004618548200171399
323,0.818356067178,,-0.0002343995223786855,-0.00046275297003848067
2801,0.8190975940959999,,-0.00023501806345681885,-0.00046284178347037427
6738,0.8202570125680001,,-0.00023563660491743448,-0.0004629806481980053
4925,0.8232540668060001,,-0.00023625514676075494,-0.0004633396084272117
1011,0.8271367970320002,,-0.00023687368898655858,-0.00046380464696879045
6482,0.829787936796,,-0.000237492231595068,-0.00046412217667021445
938,0.8345074386880001,,-0.00023811077458606156,-0.0004646874362038634
