,time,survival_unbiased,survival_biased
328,198.89563,-0.033453376259219576,
329,199.173596,-0.033556783528842754,
330,199.56734,-0.03366020149263521,
8402,199.971247288,,-0.01598577141440958
331,200.161484,-0.033763630152809115,
332,200.65207199999998,-0.03386706951157731,
333,201.266628,-0.033970519571153344,
334,202.120938,-0.03407398033375144,
8403,202.31842932,,-0.016087765396853068
335,203.54023800000002,-0.03417745180158651,
336,203.60160000000002,-0.03428093397687417,
337,204.050844,-0.03438442686183081,
338,204.684662,-0.03448793045867319,
339,205.462742,-0.03459144476961909,
8404,206.25080137199998,,-0.016189769783130147
340,206.55639799999997,-0.034694969796886854,
341,207.97969,-0.03479850554269554,
8405,208.13800602,,-0.0162917845753634
342,208.7078,-0.034902052009264876,
343,208.841986,-0.03500560919881529,
344,208.898614,-0.035109177113567896,
345,209.176864,-0.035212755755744486,
8406,209.70784372999998,,-0.016393809775676383
346,210.339204,-0.035316345127567574,
8407,210.573405,,-0.01649584538619298
347,211.61198000000002,-0.03541994523126044,
8408,212.36826888,,-0.016597891409037828
348,213.17881,-0.03552355606904674,
349,213.88304,-0.03562717764315116,
8409,213.98479501,,-0.0166999478463361
350,214.312116,-0.03573080995579895,
351,214.611726,-0.03583445300921607,
352,215.40496599999997,-0.03593810680562915,
353,215.680666,-0.036041771347265536,
354,216.079368,-0.03614544663635326,
8410,216.22511407000002,,-0.01680201470021397
355,216.24432199999998,-0.03624913267512103,
356,216.50485999999998,-0.03635282946579827,
357,216.72692600000002,-0.03645653701061521,
8411,216.905579512,,-0.016904091972797915
358,216.956994,-0.0365602553118024,
359,216.998766,-0.03666398437159147,
360,217.047806,-0.03676772419221461,
361,217.759648,-0.036871474775904696,
362,217.78523800000002,-0.03697523612489531,
363,217.846766,-0.03707900824142074,
364,217.905372,-0.03718279112771595,
8412,217.90739784,,-0.017006179666215177
365,217.912614,-0.037286584786016604,
8413,218.193962664,,-0.017108277782593537
366,218.237934,-0.03739038921855906,
367,219.261394,-0.037494204427580516,
8414,219.51565296,,-0.01721038632406177
368,219.542516,-0.037598030415318485,
369,220.368616,-0.03770186718401153,
370,221.108936,-0.03780571473589881,
371,221.424246,-0.037909573073220175,
372,221.748874,-0.038013442198216174,
373,222.121742,-0.038117322113128044,
374,222.53051000000002,-0.03822121282019774,
375,222.767502,-0.038325114321667894,
8415,223.026147568,,-0.01731250529274896
376,223.08682199999998,-0.038429026619781856,
8416,223.096132996,,-0.017414634690784962
377,223.133916,-0.038532949716783664,
378,223.364046,-0.038636883614918176,
379,223.422108,-0.038740828316430595,
380,223.685866,-0.03884478382356719,
381,225.773936,-0.038948750138574795,
8417,225.86808024,,-0.01751677452030016
8418,225.910379988,,-0.017618924783425943
382,225.994234,-0.03905272726370095,
8419,226.49753952,,-0.017721085482294004
383,226.902812,-0.03915671520119391,
384,226.99926000000002,-0.039260713953302606,
385,227.64338,-0.0393647235222767,
386,228.45669,-0.039468743910366526,
8420,228.903912208,,-0.01782325661903681
387,229.127102,-0.03957277511982315,
388,229.740524,-0.039676817152898426,
8421,229.792763928,,-0.017925438195787364
389,230.338646,-0.0397808700118446,
390,230.455606,-0.03988493369891492,
391,230.58348999999998,-0.03998900821636328,
392,230.784738,-0.04009309356644423,
8422,231.09184542,,-0.01802763021467966
393,231.461096,-0.04019718975141304,
394,231.484812,-0.04030129677352569,
395,231.630598,-0.04040541463503886,
396,233.114668,-0.04050954333820994,
397,233.69026000000002,-0.04061368288529702,
398,234.48679,-0.040717833278559004,
8423,234.946041204,,-0.01812983267784801
399,235.440122,-0.040821994520255166,
400,235.459938,-0.04092616661264584,
8424,235.65075824200002,,-0.018232045587427383
401,235.855714,-0.04103034955799192,
402,236.35070000000002,-0.04113454335855504,
403,236.399134,-0.041238748016597535,
404,236.615892,-0.04134296353438243,
405,237.13518200000001,-0.041447189914173475,
406,237.51559,-0.041551427158235114,
8425,237.5322468,,-0.01833426894555374
8426,237.738771048,,-0.01843650275436336
407,238.80327400000002,-0.04165567526883251,
408,239.07571,-0.04175993424823165,
409,239.18067000000002,-0.04186420409869887,
410,240.083586,-0.04196848482250158,
411,240.539514,-0.04207277642190777,
8427,240.614168552,,-0.01853874701599328
412,241.977454,-0.042177078899186156,
413,243.001382,-0.04228139225660614,
414,243.079068,-0.042385716496437846,
415,243.126548,-0.04249005162095212,
416,243.31838,-0.0425943976324205,
417,243.642456,-0.042698754533115245,
418,243.84642000000002,-0.042803122325309445,
419,243.897692,-0.04290750101127655,
420,244.241848,-0.04301189059329105,
421,244.296868,-0.04311629107362808,
422,244.40278400000003,-0.043220702454563435,
423,245.770332,-0.04332512473837365,
424,246.124988,-0.04342955792733598,
8428,247.0130484,,-0.018641001732581094
425,247.258624,-0.04353400202372837,
8429,247.78055583999998,,-0.018743266906265384
8430,251.23631094200002,,-0.018845542539185044
426,252.14296,-0.04363845702982949,
427,253.039462,-0.04374292294791874,
428,253.070596,-0.043847399780276325,
429,253.25554,-0.04395188752918283,
430,253.57157,-0.0440563861969199,
8431,253.58710243200002,,-0.018947828633479744
431,254.028628,-0.04416089578576978,
432,254.02912,-0.044265416298015434,
433,254.106784,-0.04436994773594053,
434,254.39851800000002,-0.04447449010182947,
435,255.061954,-0.04457904339796736,
436,255.432044,-0.044683607626640025,
437,255.880142,-0.044788182790134,
438,256.895,-0.044892768890736685,
439,257.25262200000003,-0.044997365930735805,
440,257.263154,-0.045101973912420185,
441,257.541432,-0.04520659283807923,
442,258.6475,-0.045311222710003075,
443,258.86253400000004,-0.045415863530482575,
444,259.161774,-0.045520515301809304,
445,260.176428,-0.045625178026275554,
8432,260.36765599200004,,-0.019050125191289704
8433,260.37067103600003,,-0.019152432214756123
446,260.432816,-0.04572985170617433,
447,260.476244,-0.04583453634379936,
8434,260.66434276,,-0.019254749706020532
8435,261.32876920800004,,-0.019357077667225227
448,261.420192,-0.04593923194144522,
449,261.528702,-0.046043938501406846,
450,261.84774799999997,-0.04614865602598025,
451,262.21371000000005,-0.04625338451746204,
8436,262.25072258399996,,-0.019459416100513046
8437,262.7806422,,-0.019561765008027834
452,263.15054399999997,-0.04635812397814956,
8438,264.04906539,,-0.019664124391913746
453,264.46339,-0.04646287441034086,
454,265.326,-0.04656763581633473,
455,265.43408600000004,-0.046672408198430666,
456,266.576188,-0.0467771915589289,
8439,266.642975628,,-0.0197664942543156
457,267.026746,-0.04688198590013037,
458,267.22128000000004,-0.04698679122433687,
8440,267.92531792,,-0.019868874597379203
459,268.68569,-0.04709160753385057,
8441,269.45496627000006,,-0.019971265423250697
8442,269.52173104800005,,-0.020073666734076987
460,269.591656,-0.047196434830974694,
461,269.823246,-0.0473012731180131,
8443,270.24769824,,-0.020176078532005523
462,270.250762,-0.04740612239727035,
463,270.387264,-0.047510982671051735,
464,270.611868,-0.04761585394166328,
465,270.72709000000003,-0.04772073621141173,
466,270.838154,-0.04782562948260455,
467,271.17975199999995,-0.047930533757549944,
468,271.578886,-0.04803544903855695,
8444,272.109397516,,-0.020278500819184763
469,272.136956,-0.048140375327934984,
470,272.620462,-0.04824531262799454,
8445,273.18977551200004,,-0.020380933597763475
8446,274.168623,,-0.020483376869891205
471,274.289746,-0.048350260941046726,
472,274.534824,-0.04845522026940337,
473,274.560558,-0.04856019061537703,
474,275.410956,-0.04866517198128101,
475,275.53392599999995,-0.04877016436942931,
476,275.629346,-0.048875167782136686,
477,276.055474,-0.04898018222171861,
478,276.474416,-0.04908520769049141,
479,276.71763799999997,-0.04919024419077178,
480,277.03886800000004,-0.04929529172487751,
481,277.87273999999996,-0.04940035029512699,
482,277.957222,-0.049505419903839346,
483,279.003636,-0.04961050055333444,
484,279.272834,-0.04971559224593286,
485,279.448342,-0.04982069498395592,
486,279.479494,-0.04992580876972568,
487,279.683408,-0.05003093360556493,
